gridSize,blue,red,flag,instructionCount,bblCount
15,8,4,A,13138927,1456313
15,8,5,A,14616010,1621246
15,8,6,A,16496111,1830398
15,8,7,A,18704865,2078198
15,8,8,A,19571886,2174684
15,8,9,A,22486433,2499510
15,8,10,A,21051137,2336979
15,9,1,A,11362443,1260387
15,9,2,A,12050331,1336141
15,9,3,A,13076033,1449630
15,9,4,A,13943327,1545069
15,9,5,A,15289003,1694719
15,9,6,A,16817476,1864073
15,9,7,A,19367750,2150014
15,9,8,A,21061996,2338254
15,9,9,A,22155344,2458307
15,9,10,A,22795723,2529052
15,10,1,A,12961292,1438685
15,10,2,A,13644709,1513745
15,10,3,A,14655921,1625500
15,10,4,A,15521239,1720547
15,10,5,A,16866368,1869808
15,10,6,A,18401534,2039887
15,10,7,A,20917803,2322092
15,10,8,A,22589910,2507627
15,10,9,A,23692458,2628206
15,10,10,A,24475704,2714183
16,1,1,A,453848,45873
16,1,2,A,884231,92374
16,1,3,A,2717789,296080
16,1,4,A,4391644,482186
16,1,5,A,4912189,538307
16,1,6,A,6904271,760413
16,1,7,A,7878070,867826
16,1,8,A,11179115,1237152
16,1,9,A,12782916,1414650
16,1,10,A,14107319,1564058
16,2,1,A,1527434,165036
16,2,2,A,1964798,212203
16,2,3,A,3817962,417963
16,2,4,A,5471005,601856
16,2,5,A,5913193,649461
16,2,6,A,7895711,870472
16,2,7,A,8852806,976056
16,2,8,A,12166358,1346713
16,2,9,A,13730809,1519919
16,2,10,A,15023373,1665677
16,3,1,A,2675054,291888
16,3,2,A,3137883,341663
16,3,3,A,4804201,526728
16,3,4,A,6642375,731119
16,3,5,A,7063191,776574
16,3,6,A,9005897,993146
16,3,7,A,9928430,1095032
16,3,8,A,13274057,1468994
16,3,9,A,14769174,1634720
16,3,10,A,16018394,1775640
16,4,1,A,4428323,487926
16,4,2,A,4889326,537491
16,4,3,A,6332186,697421
16,4,4,A,8018472,884675
16,4,5,A,8858446,976847
16,4,6,A,10740589,1186639
16,4,7,A,11599736,1281334
16,4,8,A,15003683,1661897
16,4,9,A,16420367,1818691
16,4,10,A,17650826,1957570
16,5,1,A,6432428,712448
16,5,2,A,6864884,758944
16,5,3,A,8144637,900510
16,5,4,A,9627319,1064807
16,5,5,A,10913066,1206660
16,5,6,A,12828065,1419931
16,5,7,A,13642819,1509678
16,5,8,A,17069224,1892562
16,5,9,A,18324484,2031327
16,5,10,A,19466769,2160133
16,6,1,A,8228608,913333
16,6,2,A,8648554,958359
16,6,3,A,9826561,1088263
16,6,4,A,11251357,1246034
16,6,5,A,12536280,1387560
16,6,6,A,14662119,1624389
16,6,7,A,15470025,1713110
16,6,8,A,18903413,2096783
16,6,9,A,19968035,2213425
16,6,10,A,20959880,2324705
16,7,1,A,11570086,1291252
16,7,2,A,11990730,1336022
16,7,3,A,13160678,1464899
16,7,4,A,14554323,1618861
16,7,5,A,15845840,1760420
16,7,6,A,17939887,1993531
16,7,7,A,18634838,2069402
16,7,8,A,22111004,2457002
16,7,9,A,22864124,2537646
16,7,10,A,23601499,2620026
16,8,1,A,15160259,1692049
16,8,2,A,15611162,1739855
16,8,3,A,16935150,1885992
16,8,4,A,18492336,2057892
16,8,5,A,19315460,2147294
16,8,6,A,20592363,2288128
16,8,7,A,20971972,2328740
16,8,8,A,24654977,2738952
16,8,9,A,25146786,2790854
16,8,10,A,26077546,2895844
16,9,1,A,15522327,1734130
16,9,2,A,15900438,1773907
16,9,3,A,16933885,1887260
16,9,4,A,18236312,2030620
16,9,5,A,19373225,2154523
16,9,6,A,21379850,2377710
16,9,7,A,22816702,2536295
16,9,8,A,25611602,2846945
16,9,9,A,27460390,3049966
16,9,10,A,28275290,3140725
16,10,1,A,16818784,1878575
16,10,2,A,17167871,1915189
16,10,3,A,18089277,2016231
16,10,4,A,19213030,2139365
16,10,5,A,20272521,2254500
16,10,6,A,22110986,2458796
16,10,7,A,23537142,2616333
16,10,8,A,25770621,2864144
16,10,9,A,27819031,3089612
16,10,10,A,29853095,3315890
17,1,1,A,773875,81204
17,1,2,A,1380286,147366
17,1,3,A,2644157,286900
17,1,4,A,3972176,435642
17,1,5,A,5443115,597713
17,1,6,A,7280679,803899
17,1,7,A,9858404,1093979
17,1,8,A,10792251,1195960
17,1,9,A,13881945,1544008
17,1,10,A,13968054,1548247
17,2,1,A,1452329,155984
17,2,2,A,2098173,226184
17,2,3,A,3368352,366333
17,2,4,A,4650514,510336
17,2,5,A,6120681,672325
17,2,6,A,7918493,874058
17,2,7,A,10499874,1164494
17,2,8,A,11402119,1263160
17,2,9,A,14483167,1610116
17,2,10,A,14558729,1613294
17,3,1,A,3555775,391160
17,3,2,A,4201750,461377
17,3,3,A,5471669,601515
17,3,4,A,6389682,704525
17,3,5,A,7856783,866172
17,3,6,A,9527322,1053642
17,3,7,A,12098943,1342862
17,3,8,A,12771724,1415951
17,3,9,A,15842139,1761529
17,3,10,A,15765391,1747783
17,4,1,A,5292673,586246
17,4,2,A,5900425,652474
17,4,3,A,6969629,769964
17,4,4,A,8418898,931956
17,4,5,A,9880408,1092977
17,4,6,A,11402976,1263703
17,4,7,A,13987095,1554141
17,4,8,A,14516683,1611307
17,4,9,A,17567636,1954472
17,4,10,A,17310337,1920350
17,5,1,A,7029268,779669
17,5,2,A,7639108,846140
17,5,3,A,8705443,963305
17,5,4,A,10273789,1138593
17,5,5,A,11738904,1300003
17,5,6,A,13129531,1455873
17,5,7,A,15706967,1745598
17,5,8,A,15838660,1758232
17,5,9,A,18887672,2100791
17,5,10,A,18571685,2060821
17,6,1,A,10471752,1166192
17,6,2,A,11095569,1233977
17,6,3,A,12237721,1359617
17,6,4,A,13380180,1487341
17,6,5,A,14831594,1647110
17,6,6,A,15919208,1768436
17,6,7,A,18488970,2057027
17,6,8,A,18310602,2034898
17,6,9,A,21363694,2377913
17,6,10,A,20723221,2301052
17,7,1,A,12630031,1409554
17,7,2,A,13194625,1470913
17,7,3,A,14122879,1572231
17,7,4,A,15646932,1741917
