mapFile,iterations,instructionCount
glider-10-10.json,255,13951779
glider-10-10.json,256,14006477
glider-10-10.json,257,14061175
glider-10-10.json,258,14115873
glider-10-10.json,259,14170571
glider-10-10.json,260,14225269
glider-10-10.json,261,14279967
glider-10-10.json,262,14334665
glider-10-10.json,263,14389363
glider-10-10.json,264,14444061
glider-10-10.json,265,14498759
glider-10-10.json,266,14553457
glider-10-10.json,267,14608155
glider-10-10.json,268,14662853
glider-10-10.json,269,14717551
glider-10-10.json,270,14772249
glider-10-10.json,271,14826947
glider-10-10.json,272,14881645
glider-10-10.json,273,14936343
glider-10-10.json,274,14991041
glider-10-10.json,275,15045739
glider-10-10.json,276,15100437
glider-10-10.json,277,15155135
glider-10-10.json,278,15209833
glider-10-10.json,279,15264531
glider-10-10.json,280,15319229
glider-10-10.json,281,15373927
glider-10-10.json,282,15428625
glider-10-10.json,283,15483323
glider-10-10.json,284,15538021
glider-10-10.json,285,15592719
glider-10-10.json,286,15647417
glider-10-10.json,287,15702115
glider-10-10.json,288,15756813
glider-10-10.json,289,15811511
glider-10-10.json,290,15866209
glider-10-10.json,291,15920907
glider-10-10.json,292,15975605
glider-10-10.json,293,16030303
glider-10-10.json,294,16085001
glider-10-10.json,295,16139699
glider-10-10.json,296,16194397
glider-10-10.json,297,16249095
glider-10-10.json,298,16303793
glider-10-10.json,299,16358491
glider-10-10.json,300,16413189
glider-10-10.json,301,16467887
glider-10-10.json,302,16522585
glider-10-10.json,303,16577283
glider-10-10.json,304,16631981
glider-10-10.json,305,16686679
glider-10-10.json,306,16741377
glider-10-10.json,307,16796075
glider-10-10.json,308,16850773
glider-10-10.json,309,16905471
glider-10-10.json,310,16960169
glider-10-10.json,311,17014867
glider-10-10.json,312,17069565
glider-10-10.json,313,17124263
glider-10-10.json,314,17178961
glider-10-10.json,315,17233659
glider-10-10.json,316,17288357
glider-10-10.json,317,17343055
glider-10-10.json,318,17397753
glider-10-10.json,319,17452451
glider-10-10.json,320,17507149
glider-10-10.json,321,17561847
glider-10-10.json,322,17616545
glider-10-10.json,323,17671243
glider-10-10.json,324,17725941
glider-10-10.json,325,17780639
