gridSize,blue,red,flag,instructionCount
15,6,6,A,12661090
15,6,7,A,14892046
15,6,8,A,16042864
15,6,9,A,18701303
15,6,10,A,17738285
15,6,11,A,19594951
15,6,12,A,22196909
15,6,13,A,22751375
15,6,14,A,24510610
15,6,15,A,25053751
15,7,1,A,7955157
15,7,2,A,8642279
15,7,3,A,9741373
15,7,4,A,10689635
15,7,5,A,12157244
15,7,6,A,13848506
15,7,7,A,16298747
15,7,8,A,17750283
15,7,9,A,19499784
15,7,10,A,19434821
15,7,11,A,21264009
15,7,12,A,23851670
15,7,13,A,24348301
15,7,14,A,26617012
15,7,15,A,26679655
15,8,1,A,10295417
15,8,2,A,10981530
15,8,3,A,12143742
15,8,4,A,13138927
15,8,5,A,14616010
15,8,6,A,16496111
15,8,7,A,18704865
15,8,8,A,19571886
15,8,9,A,22486433
15,8,10,A,21051137
15,8,11,A,22891011
15,8,12,A,25444441
15,8,13,A,25929809
15,8,14,A,27707265
15,8,15,A,27922198
15,9,1,A,11362443
15,9,2,A,12050331
15,9,3,A,13076033
15,9,4,A,13943327
15,9,5,A,15289003
15,9,6,A,16817476
15,9,7,A,19367750
15,9,8,A,21061996
15,9,9,A,22155344
15,9,10,A,22795723
15,9,11,A,24616937
15,9,12,A,27078964
15,9,13,A,27574706
15,9,14,A,29210977
15,9,15,A,29096012
15,10,1,A,12961292
15,10,2,A,13644709
15,10,3,A,14655921
15,10,4,A,15521239
15,10,5,A,16866368
15,10,6,A,18401534
15,10,7,A,20917803
15,10,8,A,22589910
15,10,9,A,23692458
15,10,10,A,24475704
15,10,11,A,26249913
15,10,12,A,28718976
15,10,13,A,29156066
15,10,14,A,30971223
15,10,15,A,30938367
15,11,1,A,14257372
15,11,2,A,14936548
15,11,3,A,15946669
15,11,4,A,16803471
15,11,5,A,18128137
15,11,6,A,19643148
15,11,7,A,22137128
15,11,8,A,23733677
15,11,9,A,24905113
15,11,10,A,25725026
15,11,11,A,27532100
15,11,12,A,29979427
15,11,13,A,30362794
15,11,14,A,32085611
15,11,15,A,31936189
15,12,1,A,16153213
15,12,2,A,16834233
15,12,3,A,17768294
15,12,4,A,18568500
15,12,5,A,19730954
15,12,6,A,21031400
15,12,7,A,23539114
15,12,8,A,25487683
15,12,9,A,25889374
15,12,10,A,28086860
15,12,11,A,29594191
15,12,12,A,31469060
15,12,13,A,32554108
15,12,14,A,32965405
15,12,15,A,38547143
15,13,1,A,17689464
15,13,2,A,18365195
15,13,3,A,19288824
15,13,4,A,20063130
15,13,5,A,21230471
15,13,6,A,22531103
15,13,7,A,25016948
15,13,8,A,26766553
15,13,9,A,27458350
15,13,10,A,28894070
15,13,11,A,30492361
15,13,12,A,32580223
15,13,13,A,33278610
15,13,14,A,34969052
15,13,15,A,34436171
15,14,1,A,19873055
15,14,2,A,20549581
15,14,3,A,21472053
15,14,4,A,22254386
15,14,5,A,23410041
15,14,6,A,24704899
15,14,7,A,27226900
15,14,8,A,29132495
15,14,9,A,29587039
15,14,10,A,30956047
15,14,11,A,32687554
15,14,12,A,34890067
15,14,13,A,35326806
15,14,14,A,36936889
15,14,15,A,36374612
15,15,1,A,19526921
15,15,2,A,20188595
15,15,3,A,20994552
15,15,4,A,21705591
15,15,5,A,22720517
15,15,6,A,23664223
15,15,7,A,25923483
15,15,8,A,27604878
15,15,9,A,27754261
15,15,10,A,29512226
15,15,11,A,30983289
15,15,12,A,32756792
15,15,13,A,32660347
15,15,14,A,34792238
15,15,15,A,36309847
16,1,1,A,453848
16,1,2,A,884231
16,1,3,A,2717789
16,1,4,A,4391644
16,1,5,A,4912189
16,1,6,A,6904271
16,1,7,A,7878070
16,1,8,A,11179115
16,1,9,A,12782916
16,1,10,A,14107319
16,1,11,A,16966811
16,1,12,A,17934537
16,1,13,A,20378475
16,1,14,A,22273485
16,1,15,A,24845156
16,1,16,A,25710968
16,2,1,A,1527434
16,2,2,A,1964798
16,2,3,A,3817962
16,2,4,A,5471005
16,2,5,A,5913193
16,2,6,A,7895711
16,2,7,A,8852806
16,2,8,A,12166358
16,2,9,A,13730809
16,2,10,A,15023373
16,2,11,A,17885838
16,2,12,A,18831236
16,2,13,A,21274995
16,2,14,A,23142474
16,2,15,A,25720228
16,2,16,A,26587719
16,3,1,A,2675054
16,3,2,A,3137883
16,3,3,A,4804201
16,3,4,A,6642375
16,3,5,A,7063191
16,3,6,A,9005897
16,3,7,A,9928430
16,3,8,A,13274057
16,3,9,A,14769174
16,3,10,A,16018394
16,3,11,A,18878414
16,3,12,A,19695321
16,3,13,A,22134894
16,3,14,A,23983393
16,3,15,A,26559019
16,3,16,A,27429309
16,4,1,A,4428323
16,4,2,A,4889326
16,4,3,A,6332186
16,4,4,A,8018472
16,4,5,A,8858446
16,4,6,A,10740589
16,4,7,A,11599736
16,4,8,A,15003683
16,4,9,A,16420367
16,4,10,A,17650826
16,4,11,A,20490429
16,4,12,A,21259192
16,4,13,A,23684454
16,4,14,A,25493616
16,4,15,A,28026487
16,4,16,A,28920565
16,5,1,A,6432428
16,5,2,A,6864884
16,5,3,A,8144637
16,5,4,A,9627319
16,5,5,A,10913066
16,5,6,A,12828065
16,5,7,A,13642819
16,5,8,A,17069224
16,5,9,A,18324484
16,5,10,A,19466769
16,5,11,A,22293876
16,5,12,A,22933248
16,5,13,A,25354519
16,5,14,A,27144531
16,5,15,A,29663830
16,5,16,A,30580319
16,6,1,A,8228608
16,6,2,A,8648554
16,6,3,A,9826561
16,6,4,A,11251357
16,6,5,A,12536280
16,6,6,A,14662119
16,6,7,A,15470025
16,6,8,A,18903413
16,6,9,A,19968035
16,6,10,A,20959880
16,6,11,A,23747854
16,6,12,A,24363484
16,6,13,A,26774373
16,6,14,A,28418982
16,6,15,A,30929884
16,6,16,A,31910883
16,7,1,A,11570086
16,7,2,A,11990730
16,7,3,A,13160678
16,7,4,A,14554323
16,7,5,A,15845840
